id,filename,title,doi,url
1,IRSpectroscopy/1-s2.0-S0920586114004441-main.pdf,On the nature of the active Au species: CO oxidation on cyanideleached Au/TiO2catalysts,10.1016/j.cattod.2014.06.021,
2,IRSpectroscopy/1-s2.0-S0021951710001909-main.pdf,The effect of reaction conditions on the stability of Au/CeZrO4 catalysts in the low-temperature water–gas shift reaction,10.1016/j.jcat.2010.05.021,
3,IRSpectroscopy/acscatal.8b03744.pdf,Insights into the Activation Effect of H2 Pretreatment on Ag/Al2O3 Catalyst for the Selective Oxidation of Ammonia,10.1021/acscatal.8b03744,
